time,time,open,high,low,close,tick_volume,spread,real_volume,Price1,PriceDiff,Return,Direction,Average3,MA40,MA200,Share,Close1,Profit,wealth
2020-10-05 17:02:00,1601917320,1.17834,1.17851,1.1783299999999999,1.17834,148,7,0,1.17887,0.0005300000000001415,0.00044978529117244723,1,1.17848,,,0,1.17849,0.0,0.0
2020-10-05 17:03:00,1601917380,1.17835,1.17843,1.1782,1.17836,160,7,0,1.17888,0.0005199999999998539,0.00044129128619424784,1,1.1788366666666665,,,0,1.17839,0.0,0.0
2020-10-05 17:04:00,1601917440,1.17837,1.17875,1.17837,1.17874,135,7,0,1.17877,3.0000000000196536e-05,2.5450905204028486e-05,1,1.1791766666666668,,,0,1.1782,0.0,0.0
2020-10-05 17:05:00,1601917500,1.17874,1.17947,1.17874,1.17941,184,7,0,1.17852,-0.0008900000000000574,-0.0007546145954333585,-1,1.1794833333333334,,,0,1.17841,0.0,0.0
2020-10-05 17:06:00,1601917560,1.17941,1.17947,1.17924,1.17938,183,7,0,1.17849,-0.0008900000000000574,-0.0007546337906358064,-1,1.1794633333333333,,,0,1.17835,0.0,0.0
2020-10-05 17:07:00,1601917620,1.17937,1.17972,1.17933,1.17966,265,7,0,1.17849,-0.0011699999999998933,-0.000991811199837151,-1,1.1794799999999999,,,0,1.17878,0.0,0.0
2020-10-05 17:08:00,1601917680,1.17967,1.17969,1.17934,1.17935,163,7,0,1.17839,-0.0009599999999998499,-0.0008140077161146818,-1,1.1793733333333334,,,0,1.17879,0.0,0.0
2020-10-05 17:09:00,1601917740,1.17933,1.17958,1.17932,1.17943,185,7,0,1.1782,-0.0012300000000000644,-0.0010428766438025693,-1,1.1792333333333334,,,0,1.17861,0.0,0.0
2020-10-05 17:10:00,1601917800,1.17944,1.1795,1.17926,1.17934,118,7,0,1.17841,-0.0009300000000000974,-0.000788576661522629,-1,1.1790466666666666,,,0,1.17896,0.0,0.0
2020-10-05 17:11:00,1601917860,1.17935,1.17947,1.17886,1.17893,186,7,0,1.17835,-0.0005800000000000249,-0.0004919715335092202,-1,1.1788933333333333,,,0,1.17899,0.0,0.0
2020-10-05 17:12:00,1601917920,1.17892,1.17897,1.17876,1.17887,122,7,0,1.17878,-9.000000000014552e-05,-7.63442958088216e-05,-1,1.17884,,,0,1.1788,0.0,0.0
